suite,role,endpoint_or_route,state,input_class,assertion_type,status,test_id,notes
auth,anon,POST /api/auth/register,does-not-exist,valid-new-email,http-201+jwt,covered,AUTH-001,Happy path registration
auth,anon,POST /api/auth/register,does-not-exist,duplicate-email,http-409,pending,AUTH-002,Duplicate email rejection
auth,anon,POST /api/auth/register,does-not-exist,invalid-email,http-422,pending,AUTH-003,Malformed email
auth,anon,POST /api/auth/register,does-not-exist,missing-password,http-422,pending,AUTH-004,Required field validation
auth,anon,POST /api/auth/login,does-not-exist,valid-credentials,http-200+jwt,covered,AUTH-005,Happy path login
auth,anon,POST /api/auth/login,does-not-exist,wrong-password,http-401,pending,AUTH-006,Invalid credentials
auth,anon,POST /api/auth/login,does-not-exist,nonexistent-email,http-401,pending,AUTH-007,Unknown user
auth,anon,POST /api/auth/refresh,does-not-exist,valid-refresh-token,http-200+new-access-token,pending,AUTH-008,Token refresh
auth,anon,POST /api/auth/refresh,does-not-exist,expired-refresh-token,http-401,pending,AUTH-009,Expired refresh
auth,anon,POST /api/auth/refresh,does-not-exist,tampered-token,http-401,pending,AUTH-010,JWT tamper
auth,customer,POST /api/auth/logout,active,valid-session,http-200+cleared-cookie,pending,AUTH-011,Logout clears cookie
auth,trainer,GET /api/auth/me,active,valid-jwt,http-200+user-object,covered,AUTH-012,Profile from token
auth,attacker,GET /api/auth/me,active,stolen-jwt-after-logout,http-401,pending,AUTH-013,Revoked token rejected
auth,anon,GET /api/auth/google,does-not-exist,google-oauth-redirect,http-302,pending,AUTH-014,OAuth redirect fires
auth,anon,GET /api/auth/google/callback,does-not-exist,valid-oauth-code,http-200+jwt,pending,AUTH-015,OAuth callback happy path
auth,attacker,POST /api/auth/register,does-not-exist,sql-injection-email,http-422,pending,AUTH-016,SQL injection in email
auth,attacker,POST /api/auth/login,does-not-exist,brute-force-10-attempts,http-429,pending,AUTH-017,Rate limiting on login
meal-plans,trainer,POST /api/trainer/meal-plans,does-not-exist,valid-plan-body,http-201+plan-object,covered,MP-001,Create meal plan
